placename,amnt,arent,longitude,latitude
Glastonbury,0.0000000000,1.0000000, -2.7184540,51.14743
Hereford,0.0000000000,1.0000000, -2.7159740,52.05640
Ludlow,0.0000000000,1.0000000, -2.7139129,52.36775
Preston,0.0000000000,1.0000000, -2.7030900,53.76320
Whitchurch,0.0000000000,1.0000000, -2.6820450,52.96872
Wells,0.0000000000,1.0000000, -2.6445979,51.20935
Yeovil,0.0000000000,1.0000000, -2.6333080,50.94206
Wigan,0.0000000000,1.0000000, -2.6325074,53.54506
Warrington,0.0000000000,1.0000000, -2.5969501,53.39004
Arbroath,0.0341772152,0.9658228, -2.5915430,56.55911
Bristol,0.0000000000,1.0000000, -2.5879100,51.45451
Guernsey,0.0042402827,0.9957597, -2.5852780,49.46569
Ross-on-Wye,0.0000000000,1.0000000, -2.5824460,51.91445
Jedburgh,0.0261153428,0.9738847, -2.5549369,55.47772
Sedbergh,0.0000000000,1.0000000, -2.5281740,54.32363
Sedbergh,0.0000000000,1.0000000, -2.5281740,54.32363
Nantwich,0.0000000000,1.0000000, -2.5241020,53.06719
Banff,0.0347043702,0.9652956, -2.5240380,57.66651
Dunbar,0.0328667072,0.9671333, -2.5167370,56.00209
Cinderford,0.0000000000,1.0000000, -2.5009579,51.82530
Banchory,0.0347043702,0.9652956, -2.4909599,57.05386
Blackburn,0.0000000000,1.0000000, -2.4875290,53.74858
Market Drayton,0.0000000000,1.0000000, -2.4834850,52.90355
Telford,0.0000000000,1.0000000, -2.4672611,52.67759
Montrose,0.0345047923,0.9654952, -2.4661150,56.70692
Turriff,0.0347043702,0.9652956, -2.4623000,57.53893
Weymouth,0.0035949670,0.9964050, -2.4576210,50.61443
Crewe,0.0000000000,1.0000000, -2.4438209,53.10041
Fortuneswell,0.0035949670,0.9964050, -2.4422190,50.55919
Dorchester,0.0036607688,0.9963392, -2.4411810,50.71116
Alston,0.0000000000,1.0000000, -2.4386850,54.81217
Kelso,0.0265486726,0.9734513, -2.4322070,55.60003
Wincanton,0.0000000000,1.0000000, -2.4160070,51.05569
Clitheroe,0.0000000000,1.0000000, -2.3930830,53.87110
Sark,0.0043227666,0.9956772, -2.3666256,49.43007
Bath,0.0000000000,1.0000000, -2.3590167,51.38106
Kidderminster,0.0000000000,1.0000000, -2.2496839,52.38860
Manchester,0.0000000000,1.0000000, -2.2426305,53.48076
Burnley,0.0000000000,1.0000000, -2.2405035,53.78929
Gloucester,0.0000000000,1.0000000, -2.2381560,51.86424
Newcastle-under-Lyme,0.0000000000,1.0000000, -2.2273002,53.01321
Worcester,0.0000000000,1.0000000, -2.2215750,52.19364
Trowbridge,0.0000000000,1.0000000, -2.2088530,51.31966
Shaftesbury,0.0036945813,0.9963054, -2.1980830,51.00460
Alderney,0.0042492918,0.9957507, -2.1973557,49.71500
Stoke-on-Trent,0.0000000000,1.0000000, -2.1794040,53.00267
Colne,0.0000000000,1.0000000, -2.1769910,53.85564
Blandford Forum,0.0037082818,0.9962917, -2.1653530,50.85691
Rochdale,0.0000000000,1.0000000, -2.1561000,53.60971
Jersey,0.0043891734,0.9956108, -2.1312500,49.21444
Wolverhampton,0.0000000000,1.0000000, -2.1288200,52.58697
Stafford,0.0000000000,1.0000000, -2.1206600,52.80669
Macclesfield,0.0000000000,1.0000000, -2.1192870,53.25866
Hexham,0.0000000000,1.0000000, -2.1121439,54.97266
Aberdeen,0.0346375882,0.9653624, -2.0942780,57.14972
Dudley,0.0000000000,1.0000000, -2.0811120,52.51226
Cheltenham,0.0000000000,1.0000000, -2.0782533,51.89939
Bromsgrove,0.0000000000,1.0000000, -2.0619060,52.33559
Skipton,0.0000000000,1.0000000, -2.0162787,53.96285
Fraserburgh,0.0348387097,0.9651613, -2.0076310,57.69335
Berwick,0.0242179617,0.9757820, -2.0053950,55.77024
Poole,0.0037359900,0.9962640, -1.9872480,50.71505
Walsall,0.0000000000,1.0000000, -1.9829190,52.58621
Cirencester,0.0000000000,1.0000000, -1.9682430,51.71849
Evesham,0.0000000000,1.0000000, -1.9467700,52.09215
Buxton,0.0020249747,0.9979750, -1.9148300,53.25908
Keighley,0.0000000000,1.0000000, -1.9123580,53.86780
Birmingham,0.0000000000,1.0000000, -1.8904010,52.48624
Bournemouth,0.0037359900,0.9962640, -1.8807690,50.71916
Halifax,0.0000000000,1.0000000, -1.8575400,53.72702
Salisbury,0.0038363171,0.9961637, -1.7944720,51.06878
Ringwood,0.0036809816,0.9963190, -1.7888170,50.84495
Huddersfield,0.0000000000,1.0000000, -1.7850351,53.64579
Peterhead,0.0342422321,0.9657578, -1.7840660,57.50812
Swindon,0.0000000000,1.0000000, -1.7797176,51.55577
Bradford,0.0000000000,1.0000000, -1.7593980,53.79598
Ashbourne,0.0028832292,0.9971168, -1.7321790,53.01663
Marlborough,0.0000000000,1.0000000, -1.7270620,51.42007
Stratford-upon-Avon,0.0000000000,1.0000000, -1.7082980,52.19173
Alnwick,0.0199778024,0.9800222, -1.7062990,55.41274
Otley,0.0030690537,0.9969309, -1.6917860,53.90583
Bishop Auckland,0.0031578947,0.9968421, -1.6787880,54.66382
Burton upon Trent,0.0000000000,1.0000000, -1.6371359,52.81403
Newcastle,0.0030991736,0.9969008, -1.6177800,54.97825
Durham,0.0031088083,0.9968912, -1.5848520,54.77525
Ashington,0.0097666848,0.9902333, -1.5659829,55.18298
Darlington,0.0032362460,0.9967638, -1.5594580,54.52361
Leeds,0.0030487805,0.9969512, -1.5490774,53.80076
Harrogate,0.0030333670,0.9969666, -1.5418120,53.99212
Leamington Spa,0.0000000000,1.0000000, -1.5200789,52.28519
Coventry,0.0000000000,1.0000000, -1.5196930,52.40682
Blyth,0.0030943785,0.9969056, -1.5102770,55.12696
Wakefield,0.0048959608,0.9951040, -1.5059240,53.68330
Andover,0.0046583851,0.9953416, -1.4919233,51.21120
Witney,0.0000000000,1.0000000, -1.4850544,51.78594
Barnsley,0.0025586354,0.9974414, -1.4797260,53.55263
Derby,0.0026714159,0.9973286, -1.4746186,52.92253
Sheffield,0.0033783784,0.9966216, -1.4700850,53.38113
Nuneaton,0.0000000000,1.0000000, -1.4653820,52.52049
Northallerton,0.0030596634,0.9969403, -1.4299590,54.33796
South Shields,0.0030991736,0.9969008, -1.4274060,54.99942
Chesterfield,0.0028116214,0.9971884, -1.4216290,53.23505
Southampton,0.0046838407,0.9953162, -1.4043509,50.90970
Wetherby,0.0030503305,0.9969497, -1.3848160,53.92706
Sunderland,0.0031088083,0.9968912, -1.3838010,54.90687
Rotherham,0.0026809651,0.9973190, -1.3635009,53.43260
Castleford,0.0048484848,0.9951515, -1.3459680,53.72347
Thirsk,0.0029791460,0.9970209, -1.3413770,54.23385
Banbury,0.0000000000,1.0000000, -1.3397750,52.06290
Stockton,0.0025220681,0.9974779, -1.3289821,54.57046
Newbury,0.0000000000,1.0000000, -1.3231139,51.40141
Isle of Wight,0.0043165468,0.9956835, -1.3047340,50.69385
Isle of Wight,0.0043165468,0.9956835, -1.3047340,50.69385
Abingdon,0.0000000000,1.0000000, -1.2879529,51.67078
Shetland Islands,0.0347043702,0.9652956, -1.2659409,60.52965
Rugby,0.0000000000,1.0000000, -1.2650320,52.37088
Oxford,0.0000000000,1.0000000, -1.2577263,51.75202
Middlesbrough,0.0026109661,0.9973890, -1.2349560,54.57423
Hartlepool,0.0032206119,0.9967794, -1.2129260,54.69174
Loughborough,0.0000000000,1.0000000, -1.2061660,52.77210
Mansfield,0.0029747149,0.9970253, -1.1986740,53.14720
Nottingham,0.0028155795,0.9971844, -1.1581086,52.95478
Bicester,0.0000000000,1.0000000, -1.1535899,51.89960
Leicester,0.0000000000,1.0000000, -1.1397592,52.63688
Doncaster,0.0047942469,0.9952058, -1.1284620,53.52282
Worksop,0.0029112082,0.9970888, -1.1227450,53.30930
Basingstoke,0.0054397099,0.9945603, -1.0923964,51.26654
Portsmouth,0.0040650407,0.9959350, -1.0879769,50.81977
York,0.0026595745,0.9973404, -1.0872979,53.95997
Selby,0.0025641026,0.9974359, -1.0671890,53.78352
Helmsley,0.0029688273,0.9970312, -1.0562636,54.24651
Towcester,0.0000000000,1.0000000, -0.9896880,52.13511
Reading,0.0000000000,1.0000000, -0.9781303,51.45426
Retford,0.0029311187,0.9970689, -0.9455030,53.32136
Petersfield,0.0050547599,0.9949452, -0.9389900,51.00759
Northampton,0.0000000000,1.0000000, -0.9026560,52.24048
Melton Mowbray,0.0000000000,1.0000000, -0.8871260,52.76640
Aylesbury,0.0000000000,1.0000000, -0.8084000,51.81561
Newark-on-Trent,0.0027535567,0.9972464, -0.8065700,53.07004
Malton,0.0026466696,0.9973533, -0.7978970,54.13684
Chichester,0.0044444444,0.9955556, -0.7749360,50.83761
Gainsborough,0.0026978417,0.9973022, -0.7744650,53.40058
Milton Keynes,0.0000000000,1.0000000, -0.7594171,52.04062
Aldershot,0.0000000000,1.0000000, -0.7557509,51.24837
High Wycombe,0.0000000000,1.0000000, -0.7482290,51.62861
Midhurst,0.0044085231,0.9955915, -0.7372740,50.98690
Kettering,0.0000000000,1.0000000, -0.7302490,52.39632
Wellingborough,0.0000000000,1.0000000, -0.6939640,52.30242
Corby,0.0000000000,1.0000000, -0.6842333,52.49230
Bognor Regis,0.0044345898,0.9955654, -0.6730610,50.78300
Scunthorpe,0.0046948357,0.9953052, -0.6544130,53.58865
Grantham,0.0000000000,1.0000000, -0.6435820,52.91252
Whitby,0.0028355388,0.9971645, -0.6133470,54.48633
Slough,0.0120603015,0.9879397, -0.5950406,51.51054
Guildford,0.0000000000,1.0000000, -0.5704090,51.23622
Woking,0.0118460020,0.9881540, -0.5600349,51.31677
Lincoln,0.0028721876,0.9971278, -0.5405790,53.23069
Bedford,0.0000000000,1.0000000, -0.4667782,52.13864
Heathrow,0.0062434964,0.9937565, -0.4542955,51.47002
Driffield,0.0029600395,0.9970400, -0.4433770,54.00600
Beverley,0.0027497709,0.9972502, -0.4350930,53.84196
Luton,0.0057747834,0.9942252, -0.4200255,51.87867
Scarborough,0.0027829314,0.9972171, -0.3997520,54.28311
Worthing,0.0045180723,0.9954819, -0.3728820,50.81787
Dorking,0.0176297747,0.9823702, -0.3323780,51.23220
Hull,0.0027535567,0.9972464, -0.3274198,53.76762
Horsham,0.0000000000,1.0000000, -0.3258580,51.06288
Biggleswade,0.0000000000,1.0000000, -0.2642200,52.08694
Peterborough,0.0000000000,1.0000000, -0.2405299,52.56950
Welwyn Garden City,0.0128893663,0.9871106, -0.2086610,51.80317
Bridlington,0.0026315789,0.9973684, -0.1988020,54.08535
Stevenage,0.0107238606,0.9892761, -0.1966120,51.90376
Crawley,0.0047581285,0.9952419, -0.1872275,51.10914
Huntingdon,0.0000000000,1.0000000, -0.1825520,52.33146
Hove,0.0000000000,1.0000000, -0.1687490,50.82793
Spalding,0.0000000000,1.0000000, -0.1537024,52.79010
Brighton,0.0000000000,1.0000000, -0.1371630,50.82253
London,0.0106345268,0.9893655, -0.1277583,51.50735
Grimsby,0.0039087948,0.9960912, -0.0807840,53.56747
Boston,0.0000000000,1.0000000, -0.0265770,52.97894
Royston,0.0051590714,0.9948409, -0.0240660,52.04814
Louth,0.0000000000,1.0000000, -0.0077110,53.36596
Lewes,0.0000000000,1.0000000,  0.0087800,50.87387
Chatteris,0.0000000000,1.0000000,  0.0540120,52.45610
Uckfield,0.0045146727,0.9954853,  0.0959130,50.96641
Cambridge,0.0051502146,0.9948498,  0.1218170,52.20534
Bishop's Stortford,0.0101954121,0.9898046,  0.1536502,51.87216
Wisbech,0.0000000000,1.0000000,  0.1587970,52.66632
Sevenoaks,0.0058422590,0.9941577,  0.1908980,51.27241
Tunbridge Wells,0.0047206924,0.9952793,  0.2636950,51.13238
Eastbourne,0.0000000000,1.0000000,  0.2904720,50.76803
Brentwood,0.0178394450,0.9821606,  0.3071749,51.62047
Skegness,0.0000000000,1.0000000,  0.3378810,53.14640
Downham Market,0.0000000000,1.0000000,  0.3854720,52.60661
King's Lynn,0.0000000000,1.0000000,  0.4022963,52.75168
Bexhill,0.0000000000,1.0000000,  0.4662071,50.84991
Chelmsford,0.0124869927,0.9875130,  0.4685497,51.73559
Mildenhall,0.0050125313,0.9949875,  0.5156095,52.34757
Medway,0.0107142857,0.9892857,  0.5417861,51.40474
Braintree,0.0049833887,0.9950166,  0.5509269,51.88009
Gillingham,0.0107719928,0.9892280,  0.5514380,51.38632
Hastings,0.0000000000,1.0000000,  0.5734530,50.85426
Maldon,0.0052724077,0.9947276,  0.6714480,51.73181
Southend,0.0055045872,0.9944954,  0.7077123,51.54593
Bury St Edmunds,0.0045871560,0.9954128,  0.7104932,52.24292
Thetford,0.0051413882,0.9948586,  0.7516570,52.41286
Ashford,0.0054595086,0.9945405,  0.8750190,51.14647
Faversham,0.0056127222,0.9943873,  0.8893580,51.31599
Colchester,0.0054446461,0.9945554,  0.8918740,51.89593
New Romney,0.0000000000,1.0000000,  0.9394730,50.98512
Canterbury,0.0055813953,0.9944186,  1.0789089,51.28023
Ipswich,0.0048661800,0.9951338,  1.1482200,52.05674
Clacton,0.0054446461,0.9945554,  1.1530350,51.78953
Folkestone,0.0055504163,0.9944496,  1.1694560,51.08140
Sheringham,0.0000000000,1.0000000,  1.2109589,52.94442
Harwich,0.0048543689,0.9951456,  1.2602970,51.93473
Norwich,0.0050125313,0.9949875,  1.2973550,52.63089
Cromer,0.0000000000,1.0000000,  1.3018660,52.93145
Dover,0.0055197792,0.9944802,  1.3134027,51.12788
Felixstowe,0.0048661800,0.9951338,  1.3512550,51.96173
Margate,0.0054595086,0.9945405,  1.3868339,51.38965
Ramsgate,0.0054995417,0.9945005,  1.4198950,51.33555
Great Yarmouth,0.0047058824,0.9952941,  1.7280470,52.59823
Lowestoft,0.0047281324,0.9952719,  1.7534490,52.48114
Swaffham,0.0000000000,1.0000000,  0.6874810,52.64747
Dereham,0.0052493438,0.9947507,  0.9378270,52.68162
Ely,0.0047885076,0.9952115,  0.2623630,52.39954
March,0.0000000000,1.0000000,  0.0886220,52.55172
St Neots,0.0000000000,1.0000000, -0.2651030,52.23008
Banham,0.0049751244,0.9950249,  1.0402849,52.45125
Holt,0.0000000000,1.0000000,  1.0867470,52.90936
Cromer,0.0000000000,1.0000000,  1.3018660,52.93145
Hunstanton,0.0000000000,1.0000000,  0.4910320,52.93891
Horncastle,0.0000000000,1.0000000, -0.1124500,53.20731
Market Weighton,0.0028182245,0.9971818, -0.6677465,53.86484
Hawes,0.0000000000,1.0000000, -2.1968695,54.30383
Reeth,0.0000000000,1.0000000, -1.9428115,54.38946
Aysgarth,0.0028409091,0.9971591, -1.9967434,54.29159
Stanhope,0.0000000000,1.0000000, -2.0113020,54.74946
Keswick,0.0000000000,1.0000000, -3.1347060,54.60128
Oxenholme,0.0000000000,1.0000000, -2.7243328,54.30134
