,Unnamed:_0,placename,how,it_being,that,the_fact_that,longitude,latitude
0,0,Dingle,0.3529412,0.17647059,0.4705882000000001,0.0,-10.2640135,52.14094
1,1,Tralee,0.3529412,0.17647059,0.4705882000000001,0.0,-9.6999325,52.27131
2,2,Killarney,0.4117647,0.17647059,0.4117647,0.0,-9.5044265,52.05994000000001
3,3,Bantry,0.4117647,0.17647059,0.4117647,0.0,-9.4539805,51.68035
4,4,Mayo,0.3846154000000001,0.23076923,0.3846154000000001,0.0,-9.4289369,54.01526
5,5,Ballycastle,0.3846154000000001,0.23076923,0.3846154000000001,0.0,-9.3724643,54.27967
6,6,Abbeyfeale,0.3529412,0.17647059,0.4705882000000001,0.0,-9.2970823,52.38618
7,7,Ennistymon,0.3529412,0.17647059,0.4705882000000001,0.0,-9.2934951,52.94037
8,8,Galway,0.3333333,0.16666667,0.5,0.0,-9.0567905,53.27067
9,9,Claremorris,0.3333333,0.16666667,0.4166667000000001,0.08333333,-9.0017356,53.72388
10,10,Clare,0.3529412,0.17647059,0.4705882000000001,0.0,-8.9811351,52.90453
11,11,Adare,0.3529412,0.17647059,0.4705882000000001,0.0,-8.7925892,52.56363
12,12,Charleville,0.4117647,0.17647059,0.4117647,0.0,-8.681017599999999,52.36206
13,13,Mallow,0.4117647,0.17647059,0.4117647,0.0,-8.6539164,52.13898
14,14,Limerick,0.3529412,0.17647059,0.4705882000000001,0.0,-8.6267343,52.66384
15,15,Loughrea,0.3333333,0.16666667,0.5,0.0,-8.5660931,53.19891
16,16,Sligo,0.3076923,0.23076923,0.3846154000000001,0.07692308,-8.476088800000001,54.27661
17,17,Cork,0.4117647,0.17647059,0.4117647,0.0,-8.4756035,51.89851
18,18,Nenagh,0.2941176,0.17647059,0.5294118,0.0,-8.19834,52.8635
19,19,Roscommon,0.3333333,0.08333333,0.5,0.08333333,-8.1890955,53.62759000000001
20,20,Tipperary,0.4117647,0.17647059,0.4117647,0.0,-8.161851400000002,52.47379
21,21,Donegal,0.3157895,0.36842105,0.3157895,0.0,-8.1096143,54.653830000000006
22,22,Leitrim,0.3076923,0.23076923,0.3846154000000001,0.07692308,-8.0020132,54.12469
23,23,Athlone,0.3333333,0.16666667,0.4166667000000001,0.08333333,-7.9406898,53.42393000000001
24,24,Longford,0.3269231,0.19230769,0.4038462,0.07692308,-7.7932573,53.72763000000001
25,25,Offaly,0.3333333,0.16666667,0.4166667000000001,0.08333333,-7.7122229,53.23569000000001
26,26,Fermanagh,0.3157895,0.36842105,0.3157895,0.0,-7.6318728,54.34383
27,27,Enniskillen,0.3157895,0.36842105,0.3157895,0.0,-7.631533599999999,54.34382
28,28,Doon,0.3333333,0.33333333,0.2777778,0.05555556,-7.60964,54.185930000000006
29,29,Westmeath,0.375,0.17857143,0.375,0.07142857,-7.4653217,53.53453
30,30,Strabane,0.2631579,0.42105263,0.3157895,0.0,-7.4633103,54.82739
31,31,Cavan,0.3333333,0.16666667,0.4166667000000001,0.08333333,-7.3633319,53.98972
32,32,Mullingar,0.375,0.17857143,0.375,0.07142857,-7.3401868000000015,53.52582
33,33,Laois,0.1666667,0.16666667,0.5833333,0.08333333,-7.3323006999999985,52.99429
34,34,Omagh,0.2631579,0.42105263,0.3157895,0.0,-7.309959700000001,54.59771
35,35,Derry,0.2631579,0.42105263,0.3157895,0.0,-7.308574799999999,54.99661
36,36,Kilkenny,0.25,0.16666667,0.5,0.08333333,-7.2447879,52.65415
37,37,Tyrone,0.2631579,0.42105263,0.3157895,0.0,-7.131232000000002,54.49121
38,38,Waterford,0.3529412,0.17647059,0.4705882000000001,0.0,-7.110070200000001,52.25932
39,39,Monaghan,0.2777778,0.38888889,0.3333333,0.0,-6.9683132,54.2492
40,40,Carlow,0.2884615,0.23076923,0.4038462,0.07692308,-6.9341358999999985,52.83651
41,41,Kildare,0.30357140000000005,0.21428571,0.4107143,0.07142857,-6.8194708,53.21204
42,42,Dungannon,0.2631579,0.42105263,0.3157895,0.0,-6.7669352,54.50827
43,43,Cookstown,0.2631579,0.42105263,0.3157895,0.0,-6.7443895000000005,54.64182
44,44,Coleraine,0.2631579,0.42105263,0.3157895,0.0,-6.6646103000000005,55.13258
45,45,Meath,0.3653846,0.15384615,0.4038462,0.07692308,-6.656416900000001,53.60555
46,46,Armagh,0.2777778,0.38888889,0.3333333,0.0,-6.652792,54.35028000000001
47,47,Magherafelt,0.2631579,0.42105263,0.3157895,0.0,-6.607980499999999,54.75536999999999
48,48,Louth,0.3269231,0.15384615,0.4423077,0.07692308,-6.4889423,53.925230000000006
49,49,Wexford,0.3333333,0.25,0.4166667000000001,0.0,-6.4633381,52.33692
50,50,Craigavon,0.2222222,0.38888889,0.3888889,0.0,-6.4175653,54.44293
51,51,Drogheda,0.3653846,0.15384615,0.4038462,0.07692308,-6.3560985,53.71786
52,52,Rosslare,0.3333333,0.25,0.4166667000000001,0.0,-6.3414908,52.25131
53,53,Newry,0.3333333,0.38888889,0.2777778,0.0,-6.34023,54.1751
54,54,Ballymena,0.2631579,0.42105263,0.3157895,0.0,-6.2802213,54.86529
55,55,Banbridge,0.2777778,0.38888889,0.3333333,0.0,-6.2704803,54.34873
56,56,Dublin,0.3653846,0.19230769,0.3653846,0.07692308,-6.2603097000000005,53.34981
57,57,Antrim,0.2631579,0.42105263,0.3157895,0.0,-6.2072498,54.719530000000006
58,58,Wicklow,0.3269231,0.19230769,0.4038462,0.07692308,-6.044589,52.98082
59,59,Kilkeel,0.4,0.3,0.3,0.0,-6.007004,54.06312
60,60,Belfast,0.2631579,0.42105263,0.3157895,0.0,-5.93012,54.59728000000001
61,61,Down,0.2777778,0.38888889,0.3333333,0.0,-5.7156922,54.32875
62,62,Balivanich,0.3065693,0.24817518,0.3941606,0.05109489,-7.3743509,57.47227
63,63,Western Isles,0.2857143,0.2556391,0.406015,0.05263158,-7.0194034,57.75989000000001
64,64,Dunvegan,0.2857143,0.2556391,0.406015,0.05263158,-6.5813982000000015,57.4366
65,65,Stornoway,0.3043478,0.22463768,0.3913043,0.07971014,-6.384869200000002,58.20943000000001
66,66,Scilly Isles,0.32142859999999995,0.15714286,0.4214286,0.1,-6.327496599999999,49.92773
67,67,Portree,0.2857143,0.2556391,0.406015,0.05263158,-6.1960231,57.41246999999999
68,68,Islay,0.2931034,0.24712644,0.4137931,0.04597701,-6.177067,55.73625
69,69,Mull,0.2865169,0.26404494,0.4044944,0.04494382,-6.0008870000000005,56.4392
70,70,Broadford,0.2985075,0.24626866,0.4029851,0.05223881,-5.9096592,57.24139
71,71,Kyle of Lochalsh,0.2985075,0.24626866,0.4029851,0.05223881,-5.7143293,57.28261
72,72,Campbeltown,0.2816092,0.24712644,0.4252874,0.04597701,-5.6053739999999985,55.42412
73,73,Penzance,0.32142859999999995,0.15714286,0.4214286,0.1,-5.537592,50.1188
74,74,Oban,0.2670455,0.26704545,0.4204545,0.04545455,-5.471047,56.41516
75,75,Lochgilphead,0.2784091,0.26704545,0.4090909,0.04545455,-5.4323449,56.03829
76,76,Helston,0.32142859999999995,0.15714286,0.4214286,0.1,-5.274996,50.10159
77,77,Redruth,0.32142859999999995,0.15714286,0.4214286,0.1,-5.226666000000002,50.23302
78,78,Ullapool,0.3149171,0.23756906,0.3867403,0.06077348,-5.161313,57.89542
79,79,Ballachulish,0.2865169,0.26404494,0.4044944,0.04494382,-5.1337199999999985,56.67393000000001
80,80,Fort William,0.2849162,0.25698324,0.4134078,0.04469274,-5.1052179,56.81981999999999
81,81,Achnasheen,0.3149171,0.23756906,0.3867403,0.06077348,-5.078765799999998,57.57859000000001
82,82,Newquay,0.32142859999999995,0.15714286,0.4214286,0.1,-5.0737190000000005,50.4155
83,83,Falmouth,0.32142859999999995,0.14285714,0.4357143,0.1,-5.0662699999999985,50.15257
84,84,Rothesay,0.2816092,0.24712644,0.4252874,0.04597701,-5.055793,55.83596
85,85,Truro,0.32142859999999995,0.15714286,0.4214286,0.1,-5.0510410000000014,50.2632
86,86,Milford Haven,0.3450704,0.15492958,0.4154930000000001,0.08450704,-5.0426971,51.71431
87,87,Stranraer,0.2784091,0.24431818,0.4431818,0.03409091,-5.0240550000000015,54.90337
88,88,Fishguard,0.3669065,0.18705036,0.3669065,0.07913669,-4.975989,51.99393
89,89,Inchnadamph,0.3189189,0.23243243,0.3891892,0.05945946,-4.974295,58.15221
90,90,Haverfordwest,0.35460990000000003,0.14184397,0.4184397,0.08510638,-4.971319,51.80048
91,91,Dunoon,0.2784091,0.26704545,0.4090909,0.04545455,-4.926214,55.95097
92,92,Pembroke,0.3309353,0.15827338,0.4100719,0.10071942,-4.9086370000000015,51.67404000000001
93,93,Girvan,0.2784091,0.24431818,0.4318182,0.04545455,-4.8542179,55.24016
94,94,Wadebridge,0.32142859999999995,0.15714286,0.4214286,0.1,-4.836456,50.51665
95,95,Invergarry,0.3166667,0.24444444,0.4,0.03888889,-4.800261,57.07095
96,96,St Austell,0.32142859999999995,0.14285714,0.4357143,0.1,-4.7834252,50.34038
97,97,Greenock,0.2784091,0.26704545,0.4090909,0.04545455,-4.7719830000000005,55.956480000000006
98,98,Helensburgh,0.2784091,0.26704545,0.4090909,0.04545455,-4.734014,56.00232
99,99,Bodmin,0.32142859999999995,0.15714286,0.4214286,0.1,-4.7188629,50.4715
100,100,Tenby,0.3309353,0.15827338,0.4100719,0.10071942,-4.703579,51.67274000000001
101,101,Camelford,0.32142859999999995,0.15714286,0.4214286,0.1,-4.682364,50.62206
102,102,Irvine,0.2816092,0.24712644,0.4252874,0.04597701,-4.6696364,55.61156999999999
103,103,Cardigan,0.3382353,0.23529412,0.375,0.05147059,-4.660864,52.0837
104,104,Holyhead,0.3622047,0.2519685,0.3543307,0.03149606,-4.633038,53.30944
105,105,Ayr,0.2816092,0.24712644,0.4252874,0.04597701,-4.629179,55.45856
106,106,Dumbarton,0.2784091,0.26704545,0.4090909,0.04545455,-4.564554,55.94529
107,107,Bude,0.32142859999999995,0.17142857,0.4071429,0.1,-4.543678,50.82664000000001
108,108,Isle of Man,0.3203125,0.21875,0.4296875,0.03125,-4.5126331,54.27697
109,109,Kilmarnock,0.2816092,0.24712644,0.4252874,0.04597701,-4.498792,55.61472
110,110,Newton Stewart,0.2784091,0.24431818,0.4431818,0.03409091,-4.483164,54.9603
111,111,Liskeard,0.32142859999999995,0.15714286,0.4214286,0.1,-4.4647190000000005,50.45552
112,112,Altnaharra,0.3297297,0.22162162,0.3891892,0.05945946,-4.442655,58.28023
113,113,Pwllheli,0.3162393,0.25641026,0.3760684,0.05128205,-4.417633900000001,52.88882
114,114,Lairg,0.3297297,0.22162162,0.3891892,0.05945946,-4.402414,58.02206
115,115,Launceston,0.32142859999999995,0.15714286,0.4214286,0.1,-4.360451599999998,50.63683
116,116,Carmarthen,0.3188406,0.1884058,0.4275362,0.06521739,-4.312131,51.85762
117,117,Llangefni,0.3464567,0.26771654,0.3543307,0.03149606,-4.311401999999998,53.25578
118,118,Caernarfon,0.3471074,0.26446281,0.3553719,0.03305785,-4.273911,53.13955
119,119,Cumnock,0.2931034,0.23563218,0.4252874,0.04597701,-4.265828900000002,55.45355
120,120,Aberaeron,0.33064520000000003,0.24193548,0.3629032,0.06451613,-4.2581619,52.24279
121,121,Alness,0.3297297,0.22162162,0.3891892,0.05945946,-4.256825,57.69595
122,122,Glasgow,0.2655367,0.26553672,0.4293785,0.03954802,-4.251806,55.86424
123,123,Dalwhinnie,0.3297297,0.23243243,0.3783784,0.05945946,-4.242783,56.9366
124,124,Inverness,0.3297297,0.22162162,0.3891892,0.05945946,-4.224721,57.47776999999999
125,125,Saltash,0.32142859999999995,0.14285714,0.4357143,0.1,-4.21643,50.40921
126,126,Bideford,0.32142859999999995,0.17142857,0.4071429,0.1,-4.206666,51.01668
127,127,Invergordon,0.3297297,0.22162162,0.3891892,0.05945946,-4.172882,57.68811
128,128,Llanelli,0.3021583,0.18705036,0.4244604,0.08633094,-4.160248,51.68089000000001
129,129,Plymouth,0.3071429,0.14285714,0.4357143,0.11428571,-4.1426565,50.37546
130,130,Tavistock,0.32142859999999995,0.15714286,0.4214286,0.1,-4.141654,50.55112
131,131,Porthmadog,0.3471074,0.26446281,0.3553719,0.03305785,-4.133384,52.92784
132,132,Bangor,0.34146340000000003,0.24390244,0.3658537,0.04878049,-4.129263,53.22739
133,133,Tywyn,0.3043478,0.31304348,0.3304348,0.05217391,-4.087249,52.58701
134,134,Aberystwyth,0.3367347,0.26530612,0.3163265,0.08163265,-4.08292,52.4153
135,135,Lampeter,0.3046875,0.234375,0.3984375,0.0625,-4.078509,52.1129
136,136,Barnstaple,0.32142859999999995,0.17142857,0.4071429,0.1,-4.058338,51.07816
137,137,Tain,0.3405405,0.22162162,0.3783784,0.05945946,-4.05523,57.8115
138,138,Okehampton,0.32142859999999995,0.15714286,0.4214286,0.1,-4.004263,50.73831
139,139,Llandeilo,0.3284672,0.20437956,0.4160584,0.05109489,-3.99143,51.88469
140,140,Motherwell,0.2625698,0.26256983,0.4357542,0.03910615,-3.9810968,55.78321
141,141,Golspie,0.3405405,0.22162162,0.3783784,0.05945946,-3.976086,57.97341
142,142,Airdrie,0.2655367,0.26553672,0.4293785,0.03954802,-3.962566,55.86626999999999
143,143,Swansea,0.2888889,0.20740741,0.437037,0.06666667,-3.943646,51.62144
144,144,Stirling,0.27683620000000003,0.26553672,0.4180791,0.03954802,-3.9369029,56.11652
145,145,Tregaron,0.3359375,0.234375,0.3671875,0.0625,-3.934385,52.22
146,146,Castle Douglas,0.30810809999999994,0.24324324,0.4108108,0.03783784,-3.931414,54.94042
147,147,Dolgellau,0.34453779999999995,0.30252101,0.3193277,0.03361345,-3.8844,52.74215
148,148,Aberfeldy,0.3089888,0.25842697,0.3932584,0.03932584,-3.866969,56.62175
149,149,Machynlleth,0.34453779999999995,0.28571429,0.3193277,0.05042017,-3.853485,52.59027
150,150,Brora,0.3405405,0.22162162,0.3783784,0.05945946,-3.852548000000001,58.01216
151,151,Llandudno,0.3787879,0.22727273,0.3636364,0.03030303,-3.827609,53.32406
152,152,Aviemore,0.3405405,0.22162162,0.3783784,0.05945946,-3.823812,57.19449
153,153,Dalbeattie,0.30810809999999994,0.24324324,0.4108108,0.03783784,-3.822527,54.93422
154,154,Falkirk,0.2752809,0.25842697,0.4269663,0.03932584,-3.7839131,56.00188000000001
155,155,Kingsbridge,0.3071429,0.15714286,0.4214286,0.11428571,-3.777493,50.28395
156,156,Pitlochry,0.32240440000000004,0.23497268,0.3825137,0.06010929,-3.729711,56.70436
157,157,Colwyn Bay,0.3659794,0.23195876,0.371134,0.03092784,-3.72764,53.29318000000001
158,158,Totnes,0.3071429,0.15714286,0.4214286,0.11428571,-3.685797,50.43374
159,159,Grantown-on-Spey,0.3405405,0.22162162,0.3783784,0.05945946,-3.609628,57.33041
160,160,Dumfries,0.281768,0.24861878,0.4309392,0.03867403,-3.60512,55.07086
161,161,Whitehaven,0.3680851,0.23617021,0.3574468,0.03829787,-3.589233,54.5497
162,162,Dartmouth,0.3071429,0.15714286,0.4214286,0.11428571,-3.578807,50.35252
163,163,Bridgend,0.2910448,0.19402985,0.4477612,0.06716418,-3.576945,51.50429000000001
164,164,Paignton,0.3071429,0.15714286,0.4214286,0.11428571,-3.564235,50.43508
165,165,Workington,0.3830334,0.21593829999999997,0.3547558,0.04627249,-3.542752,54.64357
166,166,Llanidloes,0.3673469,0.26530612,0.3163265,0.05102041,-3.540195,52.44779000000001
167,167,Exeter,0.2978723,0.15602837,0.4326241,0.11347518,-3.533899,50.71841
168,168,Torquay,0.3071429,0.15714286,0.4214286,0.11428571,-3.525315,50.46192
169,169,Thurso,0.3405405,0.22162162,0.3783784,0.05945946,-3.5220800000000003,58.59356999999999
170,170,Livingston,0.2655367,0.26553672,0.4293785,0.03954802,-3.518068,55.90071
171,171,Rhyl,0.3802083,0.234375,0.3645833,0.02083333,-3.4916339999999995,53.31914
172,172,Tiverton,0.294964,0.15827338,0.4460432,0.10071942,-3.491207,50.90205
173,173,Minehead,0.3188406,0.17391304,0.4347826,0.07246377,-3.481152,51.20428
174,174,Dunfermline,0.2977528,0.25842697,0.4044944,0.03932584,-3.452151,56.07174000000001
175,175,Perth,0.2977528,0.25842697,0.4044944,0.03932584,-3.4308381000000003,56.39499
176,176,Prestatyn,0.3802083,0.234375,0.3645833,0.02083333,-3.407613,53.33651
177,177,Builth Wells,0.3149606,0.26771654,0.3543307,0.06299213,-3.404592,52.15002
178,178,Braemar,0.3405405,0.22162162,0.3783784,0.05945946,-3.3979439,57.00646999999999
179,179,Brecon,0.2945736,0.24806202,0.4108527,0.04651163,-3.391463,51.94895
180,180,Merthyr Tydfil,0.2539683,0.23809524,0.4444444,0.06349206,-3.381646,51.74873
181,181,Llandrindod Wells,0.3149606,0.2519685,0.3700787,0.06299213,-3.377742,52.2417
182,182,Corwen,0.3854167,0.24479167,0.3385417,0.03125,-3.369242,52.98005
183,183,Cockermouth,0.4206549,0.20906801,0.34005040000000003,0.0302267,-3.367985,54.66326
184,184,Lockerbie,0.31886479999999995,0.22537563,0.4106845,0.04507513,-3.349008,55.12224000000001
185,185,Blairgowrie,0.32240440000000004,0.23497268,0.3825137,0.06010929,-3.3378318,56.58941
186,186,Elgin,0.3405405,0.22162162,0.3783784,0.05945946,-3.318485,57.64945
187,187,Newtown,0.3434066,0.3021978,0.3049451,0.04945055,-3.313106,52.51211
188,188,Ruthin,0.3622449,0.25,0.3571429,0.03061224,-3.3103108,53.11487
189,189,Sidmouth,0.3243243,0.16216216,0.4189189,0.09459459,-3.23756,50.67865
190,190,Barrow-in-Furness,0.3455497,0.26701571,0.35602090000000003,0.03141361,-3.218894,54.10896999999999
191,191,Peebles,0.2513966,0.26256983,0.4469274,0.03910615,-3.193642,55.65306999999999
192,192,Edinburgh,0.2977528,0.25842697,0.4044944,0.03932584,-3.188267,55.95325
193,193,Cardiff,0.3028169000000001,0.1971831,0.4366197,0.06338028,-3.17909,51.48158
194,194,Llangollen,0.3834586,0.27067669,0.3157895,0.03007519,-3.17166,52.96921
195,195,Kirkcaldy,0.2977528,0.25842697,0.4044944,0.03932584,-3.158137,56.11682
196,196,Welshpool,0.3483146,0.3011236,0.3101124,0.04044944,-3.146407,52.66035
197,197,Mold,0.3622449,0.25,0.3571429,0.03061224,-3.141903,53.1672
198,198,Taunton,0.28057550000000003,0.17266187,0.4604317,0.08633094,-3.106849,51.01534
199,199,Wick,0.3405405,0.22162162,0.3783784,0.05945946,-3.093716,58.43894
200,200,John o' Groats,0.3405405,0.22162162,0.3783784,0.05945946,-3.0688997,58.63734
201,201,Dalkeith,0.2722222,0.26666667,0.4222222,0.03888889,-3.066606,55.89312
202,202,Oswestry,0.3333333,0.29059829,0.3418803,0.03418803,-3.056412,52.85715
203,203,Blackpool,0.3417085,0.25628141,0.3718593,0.03015075,-3.0356748,53.81751
204,204,Birkenhead,0.3489583,0.265625,0.3645833,0.02083333,-3.023009,53.38999
205,205,Cupar,0.3114754,0.23497268,0.3934426,0.06010929,-3.010137,56.32023
206,206,Southport,0.3417085,0.26633166,0.361809,0.03015075,-3.010113,53.64571
207,207,Bridgwater,0.2777778,0.18055556,0.4583333,0.08333333,-3.003632,51.12789
208,208,Langholm,0.3360129000000001,0.22508039,0.3954984,0.04340836,-2.998913,55.15306
209,209,Newport,0.2835821,0.20895522,0.4477612,0.05970149,-2.997664,51.58415
210,210,Axminster,0.34,0.16,0.42,0.08,-2.994937,50.78273
211,211,Wrexham,0.3894737,0.24736842,0.3315789,0.03157895,-2.992494,53.04304000000001
212,212,Liverpool,0.3489583,0.265625,0.3645833,0.02083333,-2.9915726,53.40837
213,213,Weston-super-Mare,0.3028169000000001,0.1971831,0.4366197,0.06338028,-2.977255,51.34741
214,214,Dundee,0.3114754,0.23497268,0.3934426,0.06010929,-2.970721,56.46202
215,215,Kirkwall,0.3405405,0.22162162,0.3783784,0.05945946,-2.9622491,58.98467
216,216,Ambleside,0.3660934,0.23587224,0.3390663,0.05896806,-2.961333,54.42874000000001
217,217,Orkney Islands,0.3405405,0.22162162,0.3783784,0.05945946,-2.9605206,58.98094
218,218,Lyme Regis,0.3133333,0.16,0.4466667,0.08,-2.936639,50.72516
219,219,Carlisle,0.4052045,0.20446097,0.3624535,0.02788104,-2.932931,54.89247
220,220,Chester,0.3541667,0.27604167,0.328125,0.04166667,-2.893075,53.19339
221,221,Forfar,0.3114754,0.23497268,0.3934426,0.06010929,-2.889062,56.64356
222,222,Morecambe,0.31794870000000003,0.27179487,0.3692308,0.04102564,-2.864968,54.07417
223,223,Selkirk,0.3051118,0.24440895,0.4073482,0.04313099,-2.838524,55.55066
224,224,Galashiels,0.31260229999999994,0.23076923,0.4124385999999999,0.04418985,-2.814449,55.62373
225,225,Lancaster,0.3219512,0.27804878,0.3609756,0.03902439,-2.8007399,54.04657
226,226,St Andrews,0.3114754,0.23497268,0.3934426,0.06010929,-2.7967214,56.33978000000001
227,227,Hawick,0.32636659999999995,0.22990354,0.4003215,0.04340836,-2.780914,55.42706
228,228,Bridport,0.3133333,0.16,0.4466667,0.08,-2.758301,50.73358
229,229,Shrewsbury,0.3832021,0.27821522,0.3070866,0.03149606,-2.7553268,52.7073
230,230,Penrith,0.4138756,0.20574163,0.3373206,0.043062199999999995,-2.752708,54.6641
231,231,Kendal,0.3413462,0.25480769,0.3653846,0.03846154,-2.74629,54.32801
232,232,Street,0.3112583,0.21192053,0.397351,0.0794702,-2.742919,51.12468
233,233,Glastonbury,0.28368790000000005,0.21276596,0.4255319,0.07801418,-2.718454,51.14743
234,234,Hereford,0.3457557,0.23188406,0.3726708,0.04968944,-2.715974,52.0564
235,235,Ludlow,0.3659148,0.31077694,0.2781955,0.04511278,-2.7139129,52.36775
236,236,Preston,0.3546798,0.27093596,0.3448276,0.02955665,-2.70309,53.7632
237,237,Whitchurch,0.375,0.25520833,0.328125,0.04166667,-2.682045,52.96872
238,238,Wells,0.2785714,0.22857143,0.4142857,0.07857143,-2.6445979,51.20935
