placename,aint,arent,ent,innit,int,isnt,longitude,latitude
Otley,0.07928489,0.0000000000,0.0014120194,0.15294916,0.0168265648,0.7495274, -1.6917860,53.90583
Bishop Auckland,0.09532526,0.0033793298,0.0000000000,0.10954661,0.0016896649,0.7900591, -1.6787880,54.66382
Burton upon Trent,0.20106383,0.0000000000,0.0089361702,0.07691489,0.0129787234,0.7001064, -1.6371359,52.81403
Newcastle,0.06419271,0.0003906250,0.0000000000,0.12005208,0.0027343750,0.8126302, -1.6177800,54.97825
Durham,0.07665011,0.0021291696,0.0000000000,0.13626686,0.0000000000,0.7849539, -1.5848520,54.77525
Ashington,0.07571342,0.0003642987,0.0000000000,0.11026108,0.0025500911,0.8111111, -1.5659829,55.18298
Darlington,0.08576713,0.0035046729,0.0000000000,0.08859034,0.0011682243,0.8209696, -1.5594580,54.52361
Leeds,0.08398736,0.0001495856,0.0011966852,0.16122840,0.0175015208,0.7359365, -1.5490774,53.80076
Harrogate,0.07589865,0.0000000000,0.0011614177,0.15471052,0.0153887846,0.7528406, -1.5418120,53.99212
Leamington Spa,0.17023081,0.0000000000,0.0060292040,0.09213377,0.0011304757,0.7304757, -1.5200789,52.28519
Coventry,0.18622997,0.0000000000,0.0049423081,0.09067234,0.0011405326,0.7170148, -1.5196930,52.40682
Blyth,0.07743442,0.0003593245,0.0000000000,0.11258833,0.0025152713,0.8071026, -1.5102770,55.12696
Wakefield,0.07476017,0.0009923917,0.0000000000,0.17300695,0.0347337082,0.7165068, -1.5059240,53.68330
Andover,0.07563554,0.0000000000,0.0015101938,0.07337025,0.0015101938,0.8479738, -1.4919233,51.21120
Witney,0.08128316,0.0000000000,0.0065123010,0.06898215,0.0007235890,0.8424988, -1.4850544,51.78594
Barnsley,0.08076950,0.0006903376,0.0000000000,0.16388614,0.0522355432,0.7024185, -1.4797260,53.55263
Derby,0.18785579,0.0000000000,0.0018975332,0.09428368,0.0230075901,0.6929554, -1.4746186,52.92253
Sheffield,0.08209579,0.0000000000,0.0003096007,0.17770049,0.0338496785,0.7060444, -1.4700850,53.38113
Nuneaton,0.25142435,0.0000000000,0.0079130618,0.08941760,0.0015826124,0.6496624, -1.4653820,52.52049
Northallerton,0.08341426,0.0034958244,0.0000000000,0.08487085,0.0011652748,0.8270538, -1.4299590,54.33796
South Shields,0.06502627,0.0003031528,0.0006063056,0.11833064,0.0029304770,0.8128032, -1.4274060,54.99942
Chesterfield,0.09450004,0.0000000000,0.0003091604,0.17124396,0.0288549728,0.7050919, -1.4216290,53.23505
Southampton,0.13630337,0.0007955449,0.0003977725,0.10282418,0.0031821798,0.7564970, -1.4043509,50.90970
Wetherby,0.07559061,0.0000000000,0.0010992333,0.15403006,0.0162136910,0.7530664, -1.3848160,53.92706
Sunderland,0.06362253,0.0003044140,0.0006088280,0.11577879,0.0029426687,0.8167428, -1.3838010,54.90687
Rotherham,0.08319344,0.0000000000,0.0002980063,0.18346263,0.0393368366,0.6937091, -1.3635009,53.43260
Castleford,0.07157676,0.0012448133,0.0000000000,0.16804979,0.0304979253,0.7286307, -1.3459680,53.72347
Thirsk,0.04711316,0.0027713626,0.0000000000,0.11258661,0.0027713626,0.8347575, -1.3413770,54.23385
Banbury,0.06866953,0.0000000000,0.0064377682,0.07564378,0.0016094421,0.8476395, -1.3397750,52.06290
Stockton,0.08228674,0.0029358995,0.0000000000,0.08351003,0.0014679498,0.8297994, -1.3289821,54.57046
Newbury,0.11292256,0.0000000000,0.0035962599,0.09554064,0.0014385040,0.7865020, -1.3231139,51.40141
Isle of Wight,0.15936086,0.0008484163,0.0004242081,0.11665724,0.0042420814,0.7184672, -1.3047340,50.69385
Isle of Wight,0.15936086,0.0008484163,0.0004242081,0.11665724,0.0042420814,0.7184672, -1.3047340,50.69385
Abingdon,0.08339520,0.0000000000,0.0066815145,0.06780500,0.0000000000,0.8421183, -1.2879529,51.67078
Shetland Islands,0.07959184,0.0000000000,0.0000000000,0.08316327,0.0076530612,0.8295918, -1.2659409,60.52965
Rugby,0.19671906,0.0000000000,0.0039198777,0.09231312,0.0011759633,0.7058720, -1.2650320,52.37088
Oxford,0.08029545,0.0000000000,0.0064331665,0.07028830,0.0000000000,0.8429831, -1.2577263,51.75202
Middlesbrough,0.08261012,0.0029474374,0.0000000000,0.08432946,0.0014737187,0.8286393, -1.2349560,54.57423
Hartlepool,0.07199173,0.0023264831,0.0000000000,0.09318857,0.0014217397,0.8310715, -1.2129260,54.69174
Loughborough,0.19414317,0.0000000000,0.0026030369,0.12006508,0.0013015184,0.6818872, -1.2061660,52.77210
Mansfield,0.13752350,0.0000000000,0.0000000000,0.13510610,0.0278001612,0.6995702, -1.1986740,53.14720
Nottingham,0.12779631,0.0000000000,0.0000000000,0.12307817,0.0165948101,0.7325307, -1.1581086,52.95478
Bicester,0.07380541,0.0000000000,0.0103626943,0.07967761,0.0006908463,0.8354634, -1.1535899,51.89960
Leicester,0.21331828,0.0000000000,0.0033860045,0.12612867,0.0011286682,0.6560384, -1.1397592,52.63688
Doncaster,0.10238596,0.0000000000,0.0000000000,0.14084164,0.0405277752,0.7162446, -1.1284620,53.52282
Worksop,0.11780906,0.0000000000,0.0000000000,0.13623691,0.0397796818,0.7061744, -1.1227450,53.30930
Basingstoke,0.09454701,0.0000000000,0.0032013659,0.09956248,0.0012805464,0.8014086, -1.0923964,51.26654
Portsmouth,0.17364636,0.0000000000,0.0006345178,0.12119289,0.0050761421,0.6994501, -1.0879769,50.81977
York,0.04995017,0.0014947683,0.0014947683,0.13677130,0.0156950673,0.7945939, -1.0872979,53.95997
Selby,0.05560748,0.0014018692,0.0000000000,0.14474299,0.0234813084,0.7747664, -1.0671890,53.78352
Helmsley,0.05510827,0.0033314825,0.0016657413,0.12895614,0.0108273182,0.8001110, -1.0562636,54.24651
Towcester,0.11052744,0.0000000000,0.0102915952,0.08833619,0.0000000000,0.7908448, -0.9896880,52.13511
Reading,0.10063239,0.0000000000,0.0041242783,0.11080561,0.0016497113,0.7827880, -0.9781303,51.45426
Retford,0.09859155,0.0000000000,0.0000000000,0.14366197,0.0230473752,0.7346991, -0.9455030,53.32136
Petersfield,0.14593351,0.0000000000,0.0006272214,0.11039097,0.0025088856,0.7405394, -0.9389900,51.00759
Northampton,0.12919868,0.0000000000,0.0065861690,0.08111965,0.0000000000,0.7830955, -0.9026560,52.24048
Melton Mowbray,0.18603516,0.0000000000,0.0029296875,0.11840820,0.0019531250,0.6906738, -0.8871260,52.76640
Aylesbury,0.08647313,0.0000000000,0.0024706609,0.08729669,0.0024706609,0.8212889, -0.8084000,51.81561
Newark-on-Trent,0.12788202,0.0008308523,0.0000000000,0.11784255,0.0112165063,0.7422281, -0.8065700,53.07004
Malton,0.05474041,0.0013544018,0.0013544018,0.13002257,0.0169300226,0.7955982, -0.7978970,54.13684
Chichester,0.15748031,0.0000000000,0.0005249344,0.10831146,0.0031496063,0.7305337, -0.7749360,50.83761
Gainsborough,0.10256699,0.0013510471,0.0000000000,0.14557532,0.0153118667,0.7351948, -0.7744650,53.40058
Milton Keynes,0.09302012,0.0000000000,0.0056703119,0.10706089,0.0000000000,0.7942487, -0.7594171,52.04062
Aldershot,0.05344089,0.0000000000,0.0000000000,0.12106126,0.0015124779,0.8239854, -0.7557509,51.24837
High Wycombe,0.06594696,0.0000000000,0.0000000000,0.08730345,0.0028162403,0.8439333, -0.7482290,51.62861
Midhurst,0.08842505,0.0000000000,0.0000000000,0.08387097,0.0022770398,0.8254269, -0.7372740,50.98690
Kettering,0.14930362,0.0000000000,0.0083565460,0.07660167,0.0000000000,0.7657382, -0.7302490,52.39632
Wellingborough,0.14289252,0.0000000000,0.0074294205,0.08420010,0.0000000000,0.7654780, -0.6939640,52.30242
Corby,0.16329705,0.0000000000,0.0000000000,0.06972525,0.0000000000,0.7669777, -0.6842333,52.49230
Bognor Regis,0.15786558,0.0000000000,0.0000000000,0.11318316,0.0033234860,0.7256278, -0.6730610,50.78300
Scunthorpe,0.09514371,0.0000000000,0.0000000000,0.12041625,0.0148662042,0.7695738, -0.6544130,53.58865
Grantham,0.11890606,0.0000000000,0.0023781213,0.07015458,0.0023781213,0.8061831, -0.6435820,52.91252
Whitby,0.07418597,0.0020140987,0.0000000000,0.08929171,0.0035246727,0.8309836, -0.6133470,54.48633
Slough,0.08640092,0.0000000000,0.0000000000,0.10413885,0.0011443830,0.8083158, -0.5950406,51.51054
Guildford,0.05734767,0.0000000000,0.0000000000,0.11296723,0.0015360983,0.8281490, -0.5704090,51.23622
Woking,0.06598040,0.0000000000,0.0000000000,0.11689198,0.0000000000,0.8171276, -0.5600349,51.31677
Lincoln,0.10203480,0.0017693896,0.0000000000,0.11132409,0.0044234739,0.7804482, -0.5405790,53.23069
Bedford,0.11758475,0.0018159806,0.0027239709,0.10184625,0.0000000000,0.7760291, -0.4667782,52.13864
Heathrow,0.10367171,0.0000000000,0.0025917927,0.08898488,0.0038876890,0.8008639, -0.4542955,51.47002
Driffield,0.08359595,0.0000000000,0.0009951899,0.11229060,0.0195720683,0.7835462, -0.4433770,54.00600
Beverley,0.08737398,0.0000000000,0.0000000000,0.11697872,0.0188830213,0.7767643, -0.4350930,53.84196
Luton,0.11805752,0.0000000000,0.0011315417,0.09740688,0.0011315417,0.7822725, -0.4200255,51.87867
Scarborough,0.07151140,0.0000000000,0.0023192888,0.10919985,0.0092771550,0.8076923, -0.3997520,54.28311
Worthing,0.07653266,0.0008013891,0.0008013891,0.14425003,0.0000000000,0.7776145, -0.3728820,50.81787
Dorking,0.09046823,0.0000000000,0.0000000000,0.11906355,0.0000000000,0.7904682, -0.3323780,51.23220
Hull,0.08632882,0.0000000000,0.0000000000,0.10850029,0.0169416618,0.7882292, -0.3274198,53.76762
Horsham,0.07835371,0.0000000000,0.0000000000,0.08636129,0.0020664715,0.8332185, -0.3258580,51.06288
Biggleswade,0.11761331,0.0000000000,0.0034423408,0.08950086,0.0000000000,0.7894435, -0.2642200,52.08694
Peterborough,0.17082270,0.0000000000,0.0117808757,0.06558021,0.0035342627,0.7482820, -0.2405299,52.56950
Welwyn Garden City,0.11047094,0.0000000000,0.0000000000,0.10834168,0.0015030060,0.7796844, -0.2086610,51.80317
Bridlington,0.08334711,0.0000000000,0.0009922276,0.11096411,0.0195138085,0.7851827, -0.1988020,54.08535
Stevenage,0.13115693,0.0000000000,0.0013745704,0.08969072,0.0013745704,0.7764032, -0.1966120,51.90376
Crawley,0.08720673,0.0000000000,0.0000000000,0.09451085,0.0000000000,0.8182824, -0.1872275,51.10914
Huntingdon,0.09112054,0.0041045287,0.0065672459,0.06786154,0.0000000000,0.8303461, -0.1825520,52.33146
Hove,0.07317073,0.0007910349,0.0007910349,0.14713250,0.0000000000,0.7781147, -0.1687490,50.82793
Spalding,0.16430595,0.0000000000,0.0089458774,0.06560310,0.0053675265,0.7557775, -0.1537024,52.79010
Brighton,0.07377643,0.0008688097,0.0008688097,0.15435853,0.0000000000,0.7701274, -0.1371630,50.82253
London,0.08647745,0.0007509019,0.0002645223,0.16051297,0.0010239572,0.7509702, -0.1277583,51.50735
Grimsby,0.08761596,0.0000000000,0.0000000000,0.10889412,0.0169341776,0.7865557, -0.0807840,53.56747
Boston,0.14565135,0.0000000000,0.0022787695,0.06817319,0.0056969237,0.7781998, -0.0265770,52.97894
Royston,0.10023066,0.0018871881,0.0037743762,0.08492346,0.0000000000,0.8091843, -0.0240660,52.04814
Louth_Lincs,0.10646613,0.0014211274,0.0000000000,0.10255803,0.0063950734,0.7831596, -0.0077110,53.36596
Lewes,0.06991307,0.0008840430,0.0008840430,0.15942243,0.0000000000,0.7688964,  0.0087800,50.87387
Chatteris,0.15795091,0.0025613661,0.0102454642,0.06659552,0.0038420491,0.7588047,  0.0540120,52.45610
Uckfield,0.06632615,0.0009013746,0.0009013746,0.15860437,0.0000000000,0.7732667,  0.0959130,50.96641
Cambridge,0.08028442,0.0023270847,0.0046541694,0.07886231,0.0000000000,0.8338720,  0.1218170,52.20534
Bishop's Stortford,0.11914995,0.0000000000,0.0000000000,0.11222541,0.0000000000,0.7686246,  0.1536502,51.87216
Wisbech,0.17064911,0.0022577611,0.0090310442,0.06641580,0.0079021637,0.7437441,  0.1587970,52.66632
Sevenoaks,0.09660625,0.0000000000,0.0000000000,0.10894717,0.0000000000,0.7944466,  0.1908980,51.27241
Tunbridge Wells,0.08482467,0.0013626453,0.0013626453,0.08749319,0.0006813227,0.8242755,  0.2636950,51.13238
Eastbourne,0.07295315,0.0007929690,0.0007929690,0.14914425,0.0007929690,0.7755237,  0.2904720,50.76803
Brentwood,0.25365745,0.0000000000,0.0000000000,0.10375008,0.0011499393,0.6414425,  0.3071749,51.62047
Skegness,0.12143559,0.0000000000,0.0000000000,0.07014094,0.0078662734,0.8005572,  0.3378810,53.14640
Downham Market,0.14330922,0.0054249548,0.0027124774,0.05628391,0.0081374322,0.7841320,  0.3854720,52.60661
King's Lynn,0.13448845,0.0024752475,0.0024752475,0.06538779,0.0074257426,0.7877475,  0.4022963,52.75168
Bexhill,0.07279092,0.0014485756,0.0000000000,0.11654998,0.0014485756,0.8077620,  0.4662071,50.84991
Chelmsford,0.23514674,0.0000000000,0.0004772131,0.09122723,0.0023860654,0.6707627,  0.4685497,51.73559
Mildenhall,0.10157909,0.0038784745,0.0044325422,0.07239819,0.0011081356,0.8166036,  0.5156095,52.34757
Medway,0.14906322,0.0019471247,0.0012980832,0.08123837,0.0006490416,0.7658042,  0.5417861,51.40474
Braintree,0.11202186,0.0000000000,0.0000000000,0.12685402,0.0046838407,0.7564403,  0.5509269,51.88009
Gillingham,0.14687686,0.0020622336,0.0013748224,0.08191650,0.0006874112,0.7670822,  0.5514380,51.38632
Hastings,0.07417934,0.0000000000,0.0000000000,0.09691630,0.0017052721,0.8271991,  0.5734530,50.85426
Maldon,0.13240418,0.0000000000,0.0010452962,0.10365854,0.0020905923,0.7608014,  0.6714480,51.73181
Southend,0.24693374,0.0004354452,0.0004354452,0.08106539,0.0021772262,0.6689528,  0.7077123,51.54593
Bury St Edmunds,0.12577640,0.0018633540,0.0018633540,0.07484472,0.0000000000,0.7956522,  0.7104932,52.24292
Thetford,0.10762712,0.0043583535,0.0014527845,0.06634383,0.0014527845,0.8187651,  0.7516570,52.41286
Ashford,0.11654366,0.0011872020,0.0011872020,0.09458042,0.0029680049,0.7835335,  0.8750190,51.14647
Faversham,0.12067516,0.0017602535,0.0011735023,0.08605684,0.0005867512,0.7897475,  0.8893580,51.31599
Colchester,0.13529222,0.0000000000,0.0000000000,0.10542460,0.0077494349,0.7515337,  0.8918740,51.89593
New Romney,0.10347139,0.0000000000,0.0000000000,0.09914263,0.0067026001,0.7906834,  0.9394730,50.98512
Canterbury,0.11355613,0.0000000000,0.0000000000,0.09767004,0.0052953636,0.7834785,  1.0789089,51.28023
Ipswich,0.13186813,0.0000000000,0.0000000000,0.08737604,0.0064325918,0.7743232,  1.1482200,52.05674
Clacton,0.15451895,0.0000000000,0.0000000000,0.09606414,0.0087463557,0.7406706,  1.1530350,51.78953
Folkestone,0.10385932,0.0000000000,0.0000000000,0.09766317,0.0053109878,0.7931665,  1.1694560,51.08140
Sheringham,0.08848591,0.0030587721,0.0000000000,0.09329255,0.0109241861,0.8042386,  1.2109589,52.94442
Harwich,0.13186813,0.0000000000,0.0000000000,0.09139641,0.0064325918,0.7703029,  1.2602970,51.93473
Norwich,0.10588235,0.0027450980,0.0000000000,0.08705882,0.0098039216,0.7945098,  1.2973550,52.63089
Cromer,0.09174890,0.0029393240,0.0000000000,0.09006928,0.0104975856,0.8047449,  1.3018660,52.93145
Dover,0.10851856,0.0000000000,0.0000000000,0.09804492,0.0052368207,0.7881997,  1.3134027,51.12788
Felixstowe,0.13203521,0.0000000000,0.0000000000,0.09255802,0.0064017071,0.7690051,  1.3512550,51.96173
Margate,0.12398532,0.0000000000,0.0000000000,0.09396197,0.0050038919,0.7770488,  1.3868339,51.38965
Ramsgate,0.12176646,0.0000000000,0.0000000000,0.09146513,0.0050502216,0.7817182,  1.4198950,51.33555
Great Yarmouth,0.10784769,0.0032505224,0.0000000000,0.09159508,0.0116090086,0.7856977,  1.7280470,52.59823
Lowestoft,0.10814901,0.0032596042,0.0000000000,0.09254948,0.0130384168,0.7830035,  1.7534490,52.48114
Swaffham,0.11903882,0.0066543438,0.0000000000,0.07504621,0.0044362292,0.7948244,  0.6874810,52.64747
Dereham,0.09391771,0.0031305903,0.0000000000,0.08877460,0.0111806798,0.8029964,  0.9378270,52.68162
Ely,0.09211431,0.0041245213,0.0047137386,0.07424138,0.0011784346,0.8236276,  0.2623630,52.39954
March,0.16097002,0.0022913882,0.0091655528,0.06778690,0.0080198587,0.7517663,  0.0886220,52.55172
St Neots,0.11501788,0.0035756853,0.0000000000,0.09892729,0.0000000000,0.7824791, -0.2651030,52.23008
Banham,0.10149145,0.0025463805,0.0000000000,0.08521280,0.0080029101,0.8027465,  1.0402849,52.45125
Holt,0.09015707,0.0029319372,0.0000000000,0.08910995,0.0104712042,0.8073298,  1.0867470,52.90936
Cromer,0.09174890,0.0029393240,0.0000000000,0.09006928,0.0104975856,0.8047449,  1.3018660,52.93145
Hunstanton,0.12534341,0.0020604396,0.0000000000,0.06112637,0.0092719780,0.8021978,  0.4910320,52.93891
Horncastle,0.10721224,0.0014570180,0.0000000000,0.10174842,0.0065565809,0.7830257, -0.1124500,53.20731
Market Weighton,0.08240298,0.0000000000,0.0010632642,0.11412369,0.0193159667,0.7830941, -0.6677465,53.86484
Hawes,0.06925452,0.0000000000,0.0026466696,0.10674901,0.0000000000,0.8213498, -2.1968695,54.30383
Reeth,0.09017364,0.0047355959,0.0000000000,0.10181531,0.0023677979,0.8009077, -1.9428115,54.38946
Aysgarth,0.09077634,0.0029204186,0.0000000000,0.10805549,0.0029204186,0.7953273, -1.9967434,54.29159
Stanhope,0.07755261,0.0023382697,0.0000000000,0.11126267,0.0023382697,0.8065082, -2.0113020,54.74946
Keswick,0.07635135,0.0032432432,0.0000000000,0.06743243,0.0072972973,0.8456757, -3.1347060,54.60128
Oxenholme,0.08267510,0.0000000000,0.0014274838,0.07553769,0.0028549676,0.8375048, -2.7243328,54.30134
