placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Glastonbury,0.000000000,0.013245033,0.9867550, -2.7184540,51.14743
Hereford,0.000000000,0.000000000,1.0000000, -2.7159740,52.05640
Ludlow,0.000000000,0.000000000,1.0000000, -2.7139129,52.36775
Preston,0.029850746,0.044776119,0.9253731, -2.7030900,53.76320
Whitchurch,0.190476190,0.047619048,0.7619048, -2.6820450,52.96872
Wells,0.000000000,0.013245033,0.9867550, -2.6445979,51.20935
Yeovil,0.000000000,0.000000000,1.0000000, -2.6333080,50.94206
Wigan,0.144144144,0.072072072,0.7837838, -2.6325074,53.54506
Warrington,0.241486068,0.055727554,0.7027864, -2.5969501,53.39004
Arbroath,0.000000000,0.009803922,0.9901961, -2.5915430,56.55911
Bristol,0.000000000,0.012422360,0.9875776, -2.5879100,51.45451
Guernsey,0.000000000,0.000000000,1.0000000, -2.5852780,49.46569
Ross-on-Wye,0.000000000,0.000000000,1.0000000, -2.5824460,51.91445
Jedburgh,0.000000000,0.000000000,1.0000000, -2.5549369,55.47772
Sedbergh,0.016000000,0.000000000,0.9840000, -2.5281740,54.32363
Sedbergh,0.016000000,0.000000000,0.9840000, -2.5281740,54.32363
Nantwich,0.218487395,0.050420168,0.7310924, -2.5241020,53.06719
Banff,0.000000000,0.013245033,0.9867550, -2.5240380,57.66651
Dunbar,0.000000000,0.010771993,0.9892280, -2.5167370,56.00209
Cinderford,0.000000000,0.011363636,0.9886364, -2.5009579,51.82530
Banchory,0.000000000,0.009523810,0.9904762, -2.4909599,57.05386
Blackburn,0.016528926,0.049586777,0.9338843, -2.4875290,53.74858
Market Drayton,0.118518519,0.044444444,0.8370370, -2.4834850,52.90355
Telford,0.049315068,0.000000000,0.9506849, -2.4672611,52.67759
Montrose,0.000000000,0.009803922,0.9901961, -2.4661150,56.70692
Turriff,0.000000000,0.013422819,0.9865772, -2.4623000,57.53893
Weymouth,0.000000000,0.000000000,1.0000000, -2.4576210,50.61443
Crewe,0.201680672,0.050420168,0.7478992, -2.4438209,53.10041
Fortuneswell,0.000000000,0.000000000,1.0000000, -2.4422190,50.55919
Dorchester,0.000000000,0.000000000,1.0000000, -2.4411810,50.71116
Alston,0.000000000,0.012269939,0.9877301, -2.4386850,54.81217
Kelso,0.000000000,0.000000000,1.0000000, -2.4322070,55.60003
Wincanton,0.000000000,0.012500000,0.9875000, -2.4160070,51.05569
Clitheroe,0.000000000,0.018018018,0.9819820, -2.3930830,53.87110
Sark,0.000000000,0.000000000,1.0000000, -2.3666256,49.43007
Bath,0.000000000,0.012500000,0.9875000, -2.3590167,51.38106
Kidderminster,0.008849558,0.008849558,0.9823009, -2.2496839,52.38860
Manchester,0.015936255,0.007968127,0.9760956, -2.2426305,53.48076
Burnley,0.000000000,0.021505376,0.9784946, -2.2405035,53.78929
Gloucester,0.000000000,0.011009174,0.9889908, -2.2381560,51.86424
Newcastle-under-Lyme,0.149532710,0.018691589,0.8317757, -2.2273002,53.01321
Worcester,0.000000000,0.008207934,0.9917921, -2.2215750,52.19364
Trowbridge,0.000000000,0.012500000,0.9875000, -2.2088530,51.31966
Shaftesbury,0.000000000,0.019801980,0.9801980, -2.1980830,51.00460
Alderney,0.000000000,0.000000000,1.0000000, -2.1973557,49.71500
Stoke-on-Trent,0.145896657,0.018237082,0.8358663, -2.1794040,53.00267
Colne,0.000000000,0.000000000,1.0000000, -2.1769910,53.85564
Blandford Forum,0.000000000,0.000000000,1.0000000, -2.1653530,50.85691
Rochdale,0.015444015,0.007722008,0.9768340, -2.1561000,53.60971
Jersey,0.000000000,0.000000000,1.0000000, -2.1312500,49.21444
Wolverhampton,0.008968610,0.008968610,0.9820628, -2.1288200,52.58697
Stafford,0.017764619,0.008882309,0.9733531, -2.1206600,52.80669
Macclesfield,0.067331671,0.007481297,0.9251870, -2.1192870,53.25866
Hexham,0.000000000,0.013157895,0.9868421, -2.1121439,54.97266
Aberdeen,0.000000000,0.013422819,0.9865772, -2.0942780,57.14972
Dudley,0.009389671,0.009389671,0.9812207, -2.0811120,52.51226
Cheltenham,0.000000000,0.000000000,1.0000000, -2.0782533,51.89939
Bromsgrove,0.009022556,0.009022556,0.9819549, -2.0619060,52.33559
Skipton,0.000000000,0.000000000,1.0000000, -2.0162787,53.96285
Fraserburgh,0.000000000,0.013422819,0.9865772, -2.0076310,57.69335
Berwick,0.000000000,0.000000000,1.0000000, -2.0053950,55.77024
Poole,0.000000000,0.000000000,1.0000000, -1.9872480,50.71505
Walsall,0.009090909,0.009090909,0.9818182, -1.9829190,52.58621
Cirencester,0.017391304,0.017391304,0.9652174, -1.9682430,51.71849
Evesham,0.000000000,0.008862629,0.9911374, -1.9467700,52.09215
Buxton,0.026651860,0.006662965,0.9666852, -1.9148300,53.25908
Keighley,0.010810811,0.010810811,0.9783784, -1.9123580,53.86780
Birmingham,0.009259259,0.009259259,0.9814815, -1.8904010,52.48624
Bournemouth,0.000000000,0.000000000,1.0000000, -1.8807690,50.71916
Halifax,0.011111111,0.011111111,0.9777778, -1.8575400,53.72702
Salisbury,0.000000000,0.000000000,1.0000000, -1.7944720,51.06878
Ringwood,0.000000000,0.000000000,1.0000000, -1.7888170,50.84495
Huddersfield,0.010526316,0.010526316,0.9789474, -1.7850351,53.64579
Peterhead,0.000000000,0.013422819,0.9865772, -1.7840660,57.50812
Swindon,0.016949153,0.000000000,0.9830508, -1.7797176,51.55577
Bradford,0.011111111,0.011111111,0.9777778, -1.7593980,53.79598
Ashbourne,0.033994334,0.000000000,0.9660057, -1.7321790,53.01663
Marlborough,0.018691589,0.000000000,0.9813084, -1.7270620,51.42007
Stratford-upon-Avon,0.012016021,0.008010681,0.9799733, -1.7082980,52.19173
Alnwick,0.000000000,0.000000000,1.0000000, -1.7062990,55.41274
Otley,0.010582011,0.010582011,0.9788360, -1.6917860,53.90583
Bishop Auckland,0.021390374,0.010695187,0.9679144, -1.6787880,54.66382
Burton upon Trent,0.018750000,0.000000000,0.9812500, -1.6371359,52.81403
Newcastle,0.000000000,0.011494253,0.9885057, -1.6177800,54.97825
Durham,0.022099448,0.011049724,0.9668508, -1.5848520,54.77525
Ashington,0.000000000,0.000000000,1.0000000, -1.5659829,55.18298
Darlington,0.032520325,0.016260163,0.9512195, -1.5594580,54.52361
Leeds,0.010638298,0.010638298,0.9787234, -1.5490774,53.80076
Harrogate,0.010695187,0.010695187,0.9786096, -1.5418120,53.99212
Leamington Spa,0.013293944,0.008862629,0.9778434, -1.5200789,52.28519
Coventry,0.013235294,0.008823529,0.9779412, -1.5196930,52.40682
Blyth,0.000000000,0.000000000,1.0000000, -1.5102770,55.12696
Wakefield,0.010752688,0.010752688,0.9784946, -1.5059240,53.68330
Andover,0.000000000,0.007874016,0.9921260, -1.4919233,51.21120
Witney,0.016438356,0.008219178,0.9753425, -1.4850544,51.78594
Barnsley,0.008739985,0.008739985,0.9825200, -1.4797260,53.55263
Derby,0.012591815,0.000000000,0.9874082, -1.4746186,52.92253
Sheffield,0.000000000,0.000000000,1.0000000, -1.4700850,53.38113
Nuneaton,0.012195122,0.024390244,0.9634146, -1.4653820,52.52049
Northallerton,0.033898305,0.016949153,0.9491525, -1.4299590,54.33796
South Shields,0.000000000,0.011627907,0.9883721, -1.4274060,54.99942
Chesterfield,0.009724473,0.000000000,0.9902755, -1.4216290,53.23505
Southampton,0.000000000,0.000000000,1.0000000, -1.4043509,50.90970
Wetherby,0.010638298,0.010638298,0.9787234, -1.3848160,53.92706
Sunderland,0.023255814,0.011627907,0.9651163, -1.3838010,54.90687
Rotherham,0.000000000,0.000000000,1.0000000, -1.3635009,53.43260
Castleford,0.010204082,0.010204082,0.9795918, -1.3459680,53.72347
Thirsk,0.031914894,0.010638298,0.9574468, -1.3413770,54.23385
Banbury,0.021479714,0.000000000,0.9785203, -1.3397750,52.06290
Stockton,0.031496063,0.015748031,0.9527559, -1.3289821,54.57046
Newbury,0.017045455,0.008522727,0.9744318, -1.3231139,51.40141
Isle of Wight,0.000000000,0.000000000,1.0000000, -1.3047340,50.69385
Isle of Wight,0.000000000,0.000000000,1.0000000, -1.3047340,50.69385
Abingdon,0.017543860,0.008771930,0.9736842, -1.2879529,51.67078
Shetland Islands,0.000000000,0.013245033,0.9867550, -1.2659409,60.52965
Rugby,0.023316062,0.031088083,0.9455959, -1.2650320,52.37088
Oxford,0.015873016,0.007936508,0.9761905, -1.2577263,51.75202
Middlesbrough,0.031496063,0.015748031,0.9527559, -1.2349560,54.57423
Hartlepool,0.032000000,0.016000000,0.9520000, -1.2129260,54.69174
Loughborough,0.016483516,0.021978022,0.9615385, -1.2061660,52.77210
Mansfield,0.010169492,0.000000000,0.9898305, -1.1986740,53.14720
Nottingham,0.011183597,0.022367195,0.9664492, -1.1581086,52.95478
Bicester,0.016666667,0.000000000,0.9833333, -1.1535899,51.89960
Leicester,0.015665796,0.020887728,0.9634465, -1.1397592,52.63688
Doncaster,0.009592326,0.009592326,0.9808153, -1.1284620,53.52282
Worksop,0.000000000,0.000000000,1.0000000, -1.1227450,53.30930
Basingstoke,0.000000000,0.017964072,0.9820359, -1.0923964,51.26654
Portsmouth,0.000000000,0.000000000,1.0000000, -1.0879769,50.81977
York,0.011764706,0.011764706,0.9764706, -1.0872979,53.95997
Selby,0.010695187,0.010695187,0.9786096, -1.0671890,53.78352
Helmsley,0.037383178,0.000000000,0.9626168, -1.0562636,54.24651
Towcester,0.000000000,0.000000000,1.0000000, -0.9896880,52.13511
Reading,0.000000000,0.018292683,0.9817073, -0.9781303,51.45426
Retford,0.000000000,0.000000000,1.0000000, -0.9455030,53.32136
Petersfield,0.000000000,0.000000000,1.0000000, -0.9389900,51.00759
Northampton,0.000000000,0.030534351,0.9694656, -0.9026560,52.24048
Melton Mowbray,0.010781671,0.021563342,0.9676550, -0.8871260,52.76640
Aylesbury,0.018750000,0.000000000,0.9812500, -0.8084000,51.81561
Newark-on-Trent,0.010265184,0.000000000,0.9897348, -0.8065700,53.07004
Malton,0.000000000,0.015503876,0.9844961, -0.7978970,54.13684
Chichester,0.000000000,0.000000000,1.0000000, -0.7749360,50.83761
Gainsborough,0.000000000,0.011142061,0.9888579, -0.7744650,53.40058
Milton Keynes,0.000000000,0.000000000,1.0000000, -0.7594171,52.04062
Aldershot,0.000000000,0.029032258,0.9709677, -0.7557509,51.24837
High Wycombe,0.000000000,0.022222222,0.9777778, -0.7482290,51.62861
Midhurst,0.000000000,0.008042895,0.9919571, -0.7372740,50.98690
Kettering,0.000000000,0.030150754,0.9698492, -0.7302490,52.39632
Wellingborough,0.000000000,0.000000000,1.0000000, -0.6939640,52.30242
Corby,0.000000000,0.033149171,0.9668508, -0.6842333,52.49230
Bognor Regis,0.000000000,0.000000000,1.0000000, -0.6730610,50.78300
Scunthorpe,0.000000000,0.015037594,0.9849624, -0.6544130,53.58865
Grantham,0.010801080,0.021602160,0.9675968, -0.6435820,52.91252
Whitby,0.030769231,0.015384615,0.9538462, -0.6133470,54.48633
Slough,0.000000000,0.032142857,0.9678571, -0.5950406,51.51054
Guildford,0.000000000,0.020134228,0.9798658, -0.5704090,51.23622
Woking,0.000000000,0.020477816,0.9795222, -0.5600349,51.31677
Lincoln,0.000000000,0.000000000,1.0000000, -0.5405790,53.23069
Bedford,0.000000000,0.014851485,0.9851485, -0.4667782,52.13864
Heathrow,0.000000000,0.024096386,0.9759036, -0.4542955,51.47002
Driffield,0.000000000,0.015748031,0.9842520, -0.4433770,54.00600
Beverley,0.000000000,0.016806723,0.9831933, -0.4350930,53.84196
Luton,0.000000000,0.000000000,1.0000000, -0.4200255,51.87867
Scarborough,0.030303030,0.015151515,0.9545455, -0.3997520,54.28311
Worthing,0.000000000,0.000000000,1.0000000, -0.3728820,50.81787
Dorking,0.000000000,0.019417476,0.9805825, -0.3323780,51.23220
Hull,0.000000000,0.014814815,0.9851852, -0.3274198,53.76762
Horsham,0.000000000,0.008403361,0.9915966, -0.3258580,51.06288
Biggleswade,0.000000000,0.015424165,0.9845758, -0.2642200,52.08694
Peterborough,0.000000000,0.016713092,0.9832869, -0.2405299,52.56950
Welwyn Garden City,0.000000000,0.000000000,1.0000000, -0.2086610,51.80317
Bridlington,0.000000000,0.017699115,0.9823009, -0.1988020,54.08535
Stevenage,0.000000000,0.000000000,1.0000000, -0.1966120,51.90376
Crawley,0.000000000,0.000000000,1.0000000, -0.1872275,51.10914
Huntingdon,0.000000000,0.017595308,0.9824047, -0.1825520,52.33146
Hove,0.000000000,0.000000000,1.0000000, -0.1687490,50.82793
Spalding,0.000000000,0.000000000,1.0000000, -0.1537024,52.79010
Brighton,0.000000000,0.000000000,1.0000000, -0.1371630,50.82253
London,0.000000000,0.010423905,0.9895761, -0.1277583,51.50735
Grimsby,0.000000000,0.014814815,0.9851852, -0.0807840,53.56747
Boston,0.000000000,0.000000000,1.0000000, -0.0265770,52.97894
Royston,0.000000000,0.016574586,0.9834254, -0.0240660,52.04814
Louth_Lincs,0.000000000,0.015748031,0.9842520, -0.0077110,53.36596
Lewes,0.000000000,0.000000000,1.0000000,  0.0087800,50.87387
Chatteris,0.000000000,0.017142857,0.9828571,  0.0540120,52.45610
Uckfield,0.000000000,0.000000000,1.0000000,  0.0959130,50.96641
Cambridge,0.000000000,0.017142857,0.9828571,  0.1218170,52.20534
Bishop's Stortford,0.000000000,0.000000000,1.0000000,  0.1536502,51.87216
Wisbech,0.000000000,0.016042781,0.9839572,  0.1587970,52.66632
Sevenoaks,0.000000000,0.000000000,1.0000000,  0.1908980,51.27241
Tunbridge Wells,0.000000000,0.000000000,1.0000000,  0.2636950,51.13238
Eastbourne,0.000000000,0.000000000,1.0000000,  0.2904720,50.76803
Brentwood,0.040404040,0.000000000,0.9595960,  0.3071749,51.62047
Skegness,0.000000000,0.014018692,0.9859813,  0.3378810,53.14640
Downham Market,0.000000000,0.016574586,0.9834254,  0.3854720,52.60661
King's Lynn,0.013636364,0.013636364,0.9727273,  0.4022963,52.75168
Bexhill,0.000000000,0.000000000,1.0000000,  0.4662071,50.84991
Chelmsford,0.036923077,0.000000000,0.9630769,  0.4685497,51.73559
Mildenhall,0.000000000,0.017857143,0.9821429,  0.5156095,52.34757
Medway,0.014423077,0.000000000,0.9855769,  0.5417861,51.40474
Braintree,0.016574586,0.000000000,0.9834254,  0.5509269,51.88009
Gillingham,0.014634146,0.000000000,0.9853659,  0.5514380,51.38632
Hastings,0.000000000,0.000000000,1.0000000,  0.5734530,50.85426
Maldon,0.018404908,0.000000000,0.9815951,  0.6714480,51.73181
Southend,0.014423077,0.000000000,0.9855769,  0.7077123,51.54593
Bury St Edmunds,0.000000000,0.016666667,0.9833333,  0.7104932,52.24292
Thetford,0.013698630,0.013698630,0.9726027,  0.7516570,52.41286
Ashford,0.015544041,0.000000000,0.9844560,  0.8750190,51.14647
Faversham,0.015306122,0.000000000,0.9846939,  0.8893580,51.31599
Colchester,0.016042781,0.000000000,0.9839572,  0.8918740,51.89593
New Romney,0.000000000,0.000000000,1.0000000,  0.9394730,50.98512
Canterbury,0.015665796,0.000000000,0.9843342,  1.0789089,51.28023
Ipswich,0.015503876,0.000000000,0.9844961,  1.1482200,52.05674
Clacton,0.015789474,0.000000000,0.9842105,  1.1530350,51.78953
Folkestone,0.015544041,0.000000000,0.9844560,  1.1694560,51.08140
Sheringham,0.016949153,0.000000000,0.9830508,  1.2109589,52.94442
Harwich,0.016042781,0.000000000,0.9839572,  1.2602970,51.93473
Norwich,0.016393443,0.000000000,0.9836066,  1.2973550,52.63089
Cromer,0.016666667,0.000000000,0.9833333,  1.3018660,52.93145
Dover,0.015306122,0.000000000,0.9846939,  1.3134027,51.12788
Felixstowe,0.015544041,0.000000000,0.9844560,  1.3512550,51.96173
Margate,0.014634146,0.000000000,0.9853659,  1.3868339,51.38965
Ramsgate,0.014634146,0.000000000,0.9853659,  1.4198950,51.33555
Great Yarmouth,0.015873016,0.000000000,0.9841270,  1.7280470,52.59823
Lowestoft,0.015873016,0.000000000,0.9841270,  1.7534490,52.48114
Swaffham,0.014925373,0.014925373,0.9701493,  0.6874810,52.64747
Dereham,0.016666667,0.000000000,0.9833333,  0.9378270,52.68162
Ely,0.000000000,0.017142857,0.9828571,  0.2623630,52.39954
March,0.000000000,0.016853933,0.9831461,  0.0886220,52.55172
St Neots,0.000000000,0.015113350,0.9848866, -0.2651030,52.23008
Banham,0.015873016,0.000000000,0.9841270,  1.0402849,52.45125
Holt,0.018181818,0.000000000,0.9818182,  1.0867470,52.90936
Cromer,0.016666667,0.000000000,0.9833333,  1.3018660,52.93145
Hunstanton,0.014634146,0.000000000,0.9853659,  0.4910320,52.93891
Horncastle,0.000000000,0.014634146,0.9853659, -0.1124500,53.20731
Market Weighton,0.000000000,0.016806723,0.9831933, -0.6677465,53.86484
Hawes,0.021276596,0.000000000,0.9787234, -2.1968695,54.30383
Reeth,0.035714286,0.017857143,0.9464286, -1.9428115,54.38946
Aysgarth,0.000000000,0.000000000,1.0000000, -1.9967434,54.29159
Stanhope,0.000000000,0.011428571,0.9885714, -2.0113020,54.74946
Keswick,0.016129032,0.000000000,0.9838710, -3.1347060,54.60128
Oxenholme,0.016260163,0.000000000,0.9837398, -2.7243328,54.30134
